"Date","Time","group","Latitude","Longitude","location notes","zonal point","Intertidal zone","TapePoint","quarter","Distance from point","Height","Circumference","stems","Bud 1 Live","Bud 1 Dead","Bud 2 Live","Bud 2 Dead","Bud 3 Live","Bud 3 Dead","Leaf","leaf distorted ?","% of leaf missing","number of Mines","number of Galls"
"28/06/2015","12:48:19 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 7","True","","","","","","Leaf 4","True","5","0","0"
"28/06/2015","12:48:26 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 7","True","","","","","","Leaf 5","True","20","0","0"
"28/06/2015","12:48:33 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 7","True","","","","","","Leaf 6","True","5","0","0"
"28/06/2015","12:49:29 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","","","","","Leaf 1","True","20","0","0"
"28/06/2015","12:49:39 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","","","","","Leaf 2","True","5","0","0"
"28/06/2015","12:49:53 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","","","","","Leaf 3","True","20","0","0"
"28/06/2015","12:50:09 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","","","","","Leaf 3","","40","0","0"
"28/06/2015","12:50:33 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","","","","","Leaf 5","True","2","0","0"
"28/06/2015","12:50:45 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","","","","","Leaf 6","True","20","0","1"
"28/06/2015","12:54:20 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 1","True","","","","","","Leaf 1","True","10","0","0"
"28/06/2015","12:54:57 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 1","True","","","True","","","Leaf 2","True","50","1","0"
"28/06/2015","12:55:15 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 1","True","","","True","","","Leaf 3","True","20","1","0"
"28/06/2015","12:55:33 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 1","True","","","True","","","Leaf 4","True","10","0","0"
"28/06/2015","12:55:47 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 1","True","","","True","","","Leaf 5","True","20","0","0"
"28/06/2015","12:55:57 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 1","True","","","True","","","Leaf 6","True","10","0","0"
"28/06/2015","12:56:11 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 2","","True","","","","","Leaf 1","True","10","0","0"
"28/06/2015","12:56:23 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 2","","True","","","","","Leaf 2","","0","0","0"
"28/06/2015","12:56:36 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 2","","True","","","","","Leaf 3","","0","1","0"
"28/06/2015","12:56:41 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 2","","True","","","","","Leaf 4","","0","0","0"
"28/06/2015","12:56:50 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 2","","True","","","","","Leaf 6","True","30","0","0"
"28/06/2015","12:56:57 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 2","","True","","","","","Leaf 5","","0","0","0"
"28/06/2015","12:57:15 PM","gary","","","","Seaward","Low","15","quarter 3","10.5","7.2","95","stem 3","True","","True","","","True","Leaf 1","True","10","0","0"
